                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39113,                 1.9605,                 1.1158,                 0.5719,                0.42696,                0.44237,                0.42397,                0.37363,                 2.0672,                0.84611,             0.00010759,             0.00010759,             0.00010759
                      2,                0.22626,                0.84267,                0.97371,                0.53928,                0.49263,                 0.4991,                0.48775,                0.24416,                 1.6756,                0.63838,              0.0002046,              0.0002046,              0.0002046
                      3,                0.20778,                0.75005,                0.95675,                0.55883,                0.50956,                0.53518,                0.52082,                0.24306,                 1.6845,                0.60143,             0.00029095,             0.00029095,             0.00029095
                      4,                0.19539,                0.66903,                0.94486,                0.60595,                0.48694,                0.54001,                0.53264,                0.23827,                  1.602,                0.61304,             0.00027503,             0.00027503,             0.00027503
                      5,                0.18192,                0.60977,                0.93687,                0.53071,                0.49829,                0.53948,                0.53264,                0.22377,                 1.6002,                0.58487,             0.00027503,             0.00027503,             0.00027503
                      6,                0.17069,                0.55513,                0.93042,                0.58376,                0.51408,                0.55077,                0.54358,                 0.2065,                 1.7107,                0.55285,             0.00025905,             0.00025905,             0.00025905
                      7,                0.16173,                0.51035,                0.92448,                0.55774,                0.51482,                0.55345,                0.54735,                0.20987,                 1.6683,                0.55974,             0.00024306,             0.00024306,             0.00024306
                      8,                0.15244,                0.47308,                0.91847,                0.55995,                0.54105,                0.58201,                0.57596,                0.18113,                  1.616,                0.50668,             0.00022707,             0.00022707,             0.00022707
                      9,                0.14661,                0.44372,                0.91417,                0.57727,                0.55776,                0.59702,                0.58946,                0.20775,                 1.4669,                0.53191,             0.00021108,             0.00021108,             0.00021108
                     10,                0.14212,                0.41737,                0.91387,                0.58944,                0.52391,                0.59571,                0.58925,                0.19436,                 1.5347,                0.51443,             0.00019509,             0.00019509,             0.00019509
                     11,                0.14431,                0.34302,                0.90997,                0.57033,                 0.5605,                 0.5953,                0.58769,                0.19871,                 1.5503,                0.51376,              0.0001791,              0.0001791,              0.0001791
                     12,                0.13456,                0.30244,                 0.9041,                0.59583,                 0.5511,                0.58994,                0.58183,                0.19531,                  1.562,                 0.5042,             0.00016311,             0.00016311,             0.00016311
                     13,                0.13008,                0.27559,                0.89706,                0.61022,                 0.5349,                0.61454,                0.60491,                0.19334,                  1.524,                0.49748,             0.00014713,             0.00014713,             0.00014713
                     14,                0.12538,                0.25124,                 0.8986,                0.61493,                0.55585,                0.62093,                0.60959,                0.18829,                 1.5175,                0.48116,             0.00013114,             0.00013114,             0.00013114
                     15,                 0.1237,                0.23248,                0.89388,                0.60363,                0.58268,                0.61888,                0.61117,                0.17714,                 1.4411,                0.48056,             0.00011515,             0.00011515,             0.00011515
                     16,                0.11644,                0.21505,                0.89148,                0.61491,                0.58127,                0.62027,                0.61261,                0.18071,                 1.4581,                 0.4954,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     17,                0.11394,                0.19638,                0.88983,                0.61238,                0.58539,                0.63531,                0.62643,                0.19416,                 1.4887,                0.49509,             8.3173e-05,             8.3173e-05,             8.3173e-05
                     18,                0.10866,                0.17743,                0.88712,                0.61295,                0.57568,                0.60958,                  0.602,                0.19377,                 1.5272,                 0.4926,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     19,                0.10514,                0.15887,                0.88539,                0.66229,                0.55878,                0.63109,                0.62271,                0.17668,                 1.4533,                0.46853,             5.1196e-05,             5.1196e-05,             5.1196e-05
                     20,                    inf,                0.14691,                0.88211,                0.58525,                0.61011,                0.62998,                0.62118,                0.17616,                 1.5176,                0.46864,             3.5207e-05,             3.5207e-05,             3.5207e-05
